id;verse_id;book_name;book_number;chapter;verse;text;blessing_verse;blessing_type;ai_pastoral_safety;created_at;text_norm;uplift_score;emotional_focus
3351;789;創世記;1;28;15;我 也 與 你 同 在 。 你 無 論 往 那 裡 去 ， 我 必 保 佑 你 ， 領 你 歸 回 這 地 ， 總 不 離 棄 你 ， 直 到 我 成 全 了 向 你 所 應 許 的 。;;;;2026-01-09 18:11:55.634202+00;我也與你同在。你無論往那裡去，我必保佑你，領你歸回這地，總不離棄你，直到我成全了向你所應許的。;6;盼望
3460;34;創世記;1;2;3;神 賜 福 給 第 七 日 ， 定 為 聖 日 ； 因 為 在 這 日 ， 　 神 歇 了 他 一 切 創 造 的 工 ， 就 安 息 了 。;;;;2026-01-09 18:11:56.13061+00;神賜福給第七日，定為聖日；因為在這日，　神歇了他一切創造的工，就安息了。;4;平安
3715;619;創世記;1;24;27;說 ： 耶 和 華 ─ 我 主 人 亞 伯 拉 罕 的 　 神 是 應 當 稱 頌 的 ， 因 他 不 斷 地 以 慈 愛 誠 實 待 我 主 人 。 至 於 我 ， 耶 和 華 在 路 上 引 領 我 ， 直 走 到 我 主 人 的 兄 弟 家 裡 。;;;;2026-01-09 18:11:57.106103+00;說：耶和華─我主人亞伯拉罕的　神是應當稱頌的，因他不斷地以慈愛誠實待我主人。至於我，耶和華在路上引領我，直走到我主人的兄弟家裡。;4;被愛
3716;641;創世記;1;24;49;現 在 你 們 若 願 以 慈 愛 誠 實 待 我 主 人 ， 就 告 訴 我 ； 若 不 然 ， 也 告 訴 我 ， 使 我 可 以 或 向 左 ， 或 向 右 。;;;;2026-01-09 18:11:57.106103+00;現在你們若願以慈愛誠實待我主人，就告訴我；若不然，也告訴我，使我可以或向左，或向右。;4;被愛
3717;659;創世記;1;24;67;以 撒 便 領 利 百 加 進 了 他 母 親 撒 拉 的 帳 棚 ， 娶 了 他 為 妻 ， 並 且 愛 他 。 以 撒 自 從 他 母 親 不 在 了 ， 這 才 得 了 安 慰 。;;;;2026-01-09 18:11:57.106103+00;以撒便領利百加進了他母親撒拉的帳棚，娶了他為妻，並且愛他。以撒自從他母親不在了，這才得了安慰。;4;被愛
3718;696;創世記;1;26;3;你 寄 居 在 這 地 ， 我 必 與 你 同 在 ， 賜 福 給 你 ， 因 為 我 要 將 這 些 地 都 賜 給 你 和 你 的 後 裔 。 我 必 堅 定 我 向 你 父 亞 伯 拉 罕 所 起 的 誓 。;;;;2026-01-09 18:11:57.106103+00;你寄居在這地，我必與你同在，賜福給你，因為我要將這些地都賜給你和你的後裔。我必堅定我向你父亞伯拉罕所起的誓。;4;被祝福
3719;717;創世記;1;26;24;當 夜 耶 和 華 向 他 顯 現 ， 說 ： 我 是 你 父 親 亞 伯 拉 罕 的 　 神 ， 不 要 懼 怕 ！ 因 為 我 與 你 同 在 ， 要 賜 福 給 你 ， 並 要 為 我 僕 人 亞 伯 拉 罕 的 緣 故 ， 使 你 的 後 裔 繁 多 。;;;;2026-01-09 18:11:57.106103+00;當夜耶和華向他顯現，說：我是你父親亞伯拉罕的　神，不要懼怕！因為我與你同在，要賜福給你，並要為我僕人亞伯拉罕的緣故，使你的後裔繁多。;4;被祝福
3720;722;創世記;1;26;29;使 你 不 害 我 們 ， 正 如 我 們 未 曾 害 你 ， 一 味 的 厚 待 你 ， 並 且 打 發 你 平 平 安 安 的 走 。 你 是 蒙 耶 和 華 賜 福 的 了 。;;;;2026-01-09 18:11:57.106103+00;使你不害我們，正如我們未曾害你，一味的厚待你，並且打發你平平安安的走。你是蒙耶和華賜福的了。;4;平安
3721;732;創世記;1;27;4;照 我 所 愛 的 做 成 美 味 ， 拿 來 給 我 吃 ， 使 我 在 未 死 之 先 給 你 祝 福 。;;;;2026-01-09 18:11:57.106103+00;照我所愛的做成美味，拿來給我吃，使我在未死之先給你祝福。;4;被愛
3722;755;創世記;1;27;27;他 就 上 前 與 父 親 親 嘴 。 他 父 親 一 聞 他 衣 服 上 的 香 氣 ， 就 給 他 祝 福 ， 說 ： 我 兒 的 香 氣 如 同 耶 和 華 賜 福 之 田 地 的 香 氣 一 樣 。;;;;2026-01-09 18:11:57.106103+00;他就上前與父親親嘴。他父親一聞他衣服上的香氣，就給他祝福，說：我兒的香氣如同耶和華賜福之田地的香氣一樣。;4;被祝福
3723;939;創世記;1;32;10;你 向 僕 人 所 施 的 一 切 慈 愛 和 誠 實 ， 我 一 點 也 不 配 得 ； 我 先 前 只 拿 著 我 的 杖 過 這 約 但 河 ， 如 今 我 卻 成 了 兩 隊 了 。;;;;2026-01-09 18:11:57.106103+00;你向僕人所施的一切慈愛和誠實，我一點也不配得；我先前只拿著我的杖過這約但河，如今我卻成了兩隊了。;4;被愛
3724;984;創世記;1;34;3;示 劍 的 心 繫 戀 雅 各 的 女 兒 底 拿 ， 喜 愛 這 女 子 ， 甜 言 蜜 語 地 安 慰 他 。;;;;2026-01-09 18:11:57.106103+00;示劍的心繫戀雅各的女兒底拿，喜愛這女子，甜言蜜語地安慰他。;4;被愛
3725;1119;創世記;1;37;35;他 的 兒 女 都 起 來 安 慰 他 ， 他 卻 不 肯 受 安 慰 ， 說 ： 我 必 悲 哀 著 下 陰 間 ， 到 我 兒 子 那 裡 。 約 瑟 的 父 親 就 為 他 哀 哭 。;;;;2026-01-09 18:11:57.106103+00;他的兒女都起來安慰他，他卻不肯受安慰，說：我必悲哀著下陰間，到我兒子那裡。約瑟的父親就為他哀哭。;4;被祝福
