id;room_code;mode;bible_study_session_id;group_number;current_card_id;current_level;used_card_ids;pass_count;status;created_at;updated_at;timer_duration;timer_started_at;timer_running;sharing_mode;shared_member_ids;current_drawer_id;current_drawer_card_id;drawer_order
870ea5b9-cadb-4061-9cd1-1003541ce8ad;BQWC;standalone;;;;L1;[];0;active;2026-01-27 13:00:46.253725+00;2026-01-27 13:00:46.253725+00;60;;false;false;[];;;[]
4896c805-31e4-4e0c-8997-6e7dfdcdf690;FANF;session;2275728a-e362-4476-87ed-bcaf577ea1ef;1;c46de569-77f2-4ec7-a3af-7dd921f327c6;L1;"[""c46de569-77f2-4ec7-a3af-7dd921f327c6""]";0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:11:05.87463+00;60;;false;false;[];;;[]
ef3bb3d5-dcae-45af-a439-a5d7ad131927;BT6W;standalone;;;2cfae99c-6938-4174-b68c-da6641a429fa;L2;"[""b2dc5a9a-7908-48dc-b949-2f57ecefbfdd"",""eea911d6-8a60-4c01-a451-b7a1a49b91f0"",""2cfae99c-6938-4174-b68c-da6641a429fa""]";0;active;2026-01-27 17:25:13.470831+00;2026-01-27 17:25:27.777575+00;60;;false;false;[];;;[]
6c324f21-cdd4-4738-9440-ff8254b9d227;MLQP;standalone;;;4f59c230-055c-4629-98b1-3fae6d8947df;L2;"[""11061292-17d4-4491-a2ed-c3cc210f6d3d"",""4f59c230-055c-4629-98b1-3fae6d8947df""]";0;active;2026-01-27 14:01:59.103331+00;2026-01-27 14:02:04.193217+00;60;;false;false;[];;;[]
5b7c9b1d-6a14-4d65-87e1-11135413e2ab;WFG7;session;53f0309e-7cf8-4cfe-99c2-2c958e4bdc80;1;;L1;[];0;active;2026-01-28 09:03:54.796691+00;2026-01-28 09:03:54.796691+00;60;;false;false;[];2b60c26d-616b-4533-abb9-1001e7129cb8;;"[""2b60c26d-616b-4533-abb9-1001e7129cb8"",""f8408069-2ca2-4698-99c3-74e1414594ce""]"
cc34a5c4-5750-4b07-9bd5-c9e7752a22ef;VVB4;session;2275728a-e362-4476-87ed-bcaf577ea1ef;2;c46de569-77f2-4ec7-a3af-7dd921f327c6;L1;"[""c46de569-77f2-4ec7-a3af-7dd921f327c6""]";0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:11:05.87463+00;60;;false;false;[];;;[]
52dd53f6-6ffa-4e74-82b9-c858e2c7e21b;Q5DW;session;2275728a-e362-4476-87ed-bcaf577ea1ef;3;c46de569-77f2-4ec7-a3af-7dd921f327c6;L1;"[""c46de569-77f2-4ec7-a3af-7dd921f327c6""]";0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:11:05.87463+00;60;;false;false;[];;;[]
0a58a683-6a85-4b75-a0cc-b71e081d73d9;KQ5H;session;577b2379-4fb5-44c6-b261-4b38af38ee1f;3;4e39f0f0-1b18-4caf-8f4e-5555286fac50;L1;"[""a3900319-6cd5-435e-8137-cbafc2d5bbf6"",""4e39f0f0-1b18-4caf-8f4e-5555286fac50""]";0;active;2026-01-28 09:28:17.049782+00;2026-01-28 09:29:34.760578+00;60;;false;false;"[""3a571693-86ba-47ef-8fb1-44311dfa88ca"",""f0eb6050-d562-46ad-a707-1b82c64be6a2""]";;;"[""3a571693-86ba-47ef-8fb1-44311dfa88ca"",""f0eb6050-d562-46ad-a707-1b82c64be6a2""]"
672136fb-98e1-4569-95cf-46abfa9cb1db;CP52;session;53f0309e-7cf8-4cfe-99c2-2c958e4bdc80;2;eabc040a-6ff4-4597-be92-f7ca85a9fca7;L2;"[""81e30795-299c-43bf-a7f1-b7ddb33263d1"",""eabc040a-6ff4-4597-be92-f7ca85a9fca7""]";0;active;2026-01-28 09:03:45.582319+00;2026-01-28 09:04:41.930799+00;60;;false;false;"[""9b8b1604-69d0-4c5d-924c-0487280d9d21"",""0b275771-abf3-4b53-9cfe-68477788257b""]";;;"[""9b8b1604-69d0-4c5d-924c-0487280d9d21"",""0b275771-abf3-4b53-9cfe-68477788257b""]"
8ad2dfb4-072b-4830-9499-9cbdbac7ee0f;QSCC;session;53f0309e-7cf8-4cfe-99c2-2c958e4bdc80;3;81e30795-299c-43bf-a7f1-b7ddb33263d1;L1;"[""81e30795-299c-43bf-a7f1-b7ddb33263d1""]";0;active;2026-01-28 09:03:59.265557+00;2026-01-28 09:04:51.500037+00;60;;false;false;"[""8cb328fa-afc0-4586-8cf2-7d89ce635cda""]";f0a29762-c160-4f29-bd46-3a71753ca87b;;"[""8cb328fa-afc0-4586-8cf2-7d89ce635cda"",""f0a29762-c160-4f29-bd46-3a71753ca87b""]"
