id;display_order;EventID;Date_Maybe;Date_Stage;Stage_Short;季節;大約日期;地點;事件名稱;事件分類;神學主題;耶穌品格;焦點;福音中心;經文總覽;經文_太;經文_可;經文_路;經文_約;經文狀態;合參原則;年代確信度;順序確信度;資料類型;事件分類_五大精分;分類依據_研究級;教導_主題_研究級;事件分類_研究級_細分;教導_天國_二級主題;比喻_二級主題;神蹟_二級主題;事件分類_研究級_終版;示範_二級主題;智慧_二級主題;幽默_二級主題;事件分類_研究級_終極;分類_Tags;新約串珠;新約串珠_理由;新約串珠_事件級;新約串珠_事件級_結論;主題索引_研究級;舊約彌賽亞串珠;舊約經文引用_耶穌;人事時地物預表;舊約經文引用_耶穌_擴充;人事時地物預表_一級;人事時地物預表_二級;使用者痛點標籤;一句帶走的話;使用者痛點_主要;使用者痛點_次要;福音中心_微型敘事;福音中心_old
228;20;E-020;—;;Meta;後設;—;歷史檔案;路加家譜:人子的源頭;;普世救主;;神的兒子;【路加家譜:人子的源頭】 耶穌在這段故事中主動靠近人：救恩不是抽象概念，而是祂在你生活裡的真實臨在。;Lk 3:23-38;;;Lk 3:23-38;;後設資料;福音書順序;高;高;後設資料;後設>說明;;;;;;;;;;;;;;;;;天國門徒生活（綜合）;;;;;;;身份困惑;你以為只是背景，其實在鋪一條回家的路。（E-020）;身份困惑;匱乏／無力;【路加家譜:人子的源頭】 耶穌在這段故事中主動靠近人：救恩不是抽象概念，而是祂在你生活裡的真實臨在。;此列屬後設/序言：神已在話語中主動啟示並定義耶穌，為整個救恩敘事奠基，使信心建立在神先說話的白白的愛上。
209;1;E-001;—;;Meta;後設;永恆;天上/永恆;【序言】太初有道;;邏各斯;;先存的基督;【【序言】太初有道】 耶穌在這段故事中主動靠近人：救恩不是抽象概念，而是祂在你生活裡的真實臨在。;Jn 1:1-18;;;;Jn 1:1-18;後設資料;福音書順序;高;高;後設資料;後設>說明;;;;;;;;;;;;;;;;;天國門徒生活（綜合）;;;;;;;身份困惑;你以為只是背景，其實在鋪一條回家的路。（E-001）;身份困惑;匱乏／無力;【【序言】太初有道】 耶穌在這段故事中主動靠近人：救恩不是抽象概念，而是祂在你生活裡的真實臨在。;此列為資料庫後設：福音不是零散故事，而是可追溯的歷史見證；因此信仰有其公開可驗的起點與脈絡。
210;2;E-002;—;;Meta;後設;—;書房/文本;路加序言;;歷史確據;;真實性;【路加序言】 耶穌在這段故事中主動靠近人：救恩不是抽象概念，而是祂在你生活裡的真實臨在。;Lk 1:1-4;;;Lk 1:1-4;;後設資料;福音書順序;高;高;後設資料;後設>說明;;;;;;;;;;;;;;;;;天國門徒生活（綜合）;;;;;;;身份困惑;你以為只是背景，其實在鋪一條回家的路。（E-002）;身份困惑;匱乏／無力;【路加序言】 耶穌在這段故事中主動靠近人：救恩不是抽象概念，而是祂在你生活裡的真實臨在。;此列為資料庫後設：福音不是零散故事，而是可追溯的歷史見證；因此信仰有其公開可驗的起點與脈絡。
211;3;E-003;—;;Meta;後設;—;歷史檔案;馬太家譜:彌賽亞的法統;;彌賽亞法統;;大衛之子;【馬太家譜:彌賽亞的法統】 耶穌在這段故事中主動靠近人：救恩不是抽象概念，而是祂在你生活裡的真實臨在。;Mt 1:1-17;Mt 1:1-17;;;;後設資料;福音書順序;高;高;後設資料;後設>說明;;;;;;;;;;;;;;;;;天國門徒生活（綜合）;;;;;;;身份困惑;你以為只是背景，其實在鋪一條回家的路。（E-003）;身份困惑;匱乏／無力;【馬太家譜:彌賽亞的法統】 耶穌在這段故事中主動靠近人：救恩不是抽象概念，而是祂在你生活裡的真實臨在。;此列屬後設/序言：神已在話語中主動啟示並定義耶穌，為整個救恩敘事奠基，使信心建立在神先說話的白白的愛上。
212;4;E-004;06BCE-03;;Birth;春;西元前 6 年;耶路撒冷聖殿;預言施洗約翰出生;;預備/先鋒;信實、勇氣、使命感;救贖歷史開場;【預言施洗約翰出生】 耶穌在『末世/審判/警醒』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;Lk 1:5-25;;;Lk 1:5-25;;經文明載;福音書順序;中;高;事件;教導>教導;;末世/審判/警醒;;;;;;;;;;;林後 5:10；帖前 5:1-11；彼後 3:8-13；來 9:27-28；雅 5:7-9｜共同點：耶穌的警醒教導在書信中延續：末後審判真實存在，因此今天要悔改、忠心、忍耐等候。;理由：①本事件談警醒、審判與結局；②書信延續末世張力：等候主來、忍耐、活在光中；③共同信息：末後真實，使今天的忠心有重量。;林後 5:10；帖前 5:1-11；彼後 3:8-13；來 9:27-28；雅 5:7-9;共同點：耶穌的警醒教導在書信中延續：末後審判真實存在，因此今天要悔改、忠心、忍耐等候。;天國門徒生活（綜合）;"【P】[彌賽亞預言] 瑪 3:1; 賽 40:3-5";;;;;;身份困惑;你還沒開口，祂已先靠近你。（E-004）;身份困惑;匱乏／無力;【預言施洗約翰出生】 耶穌在『末世/審判/警醒』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。
362;150;E-150;—;;Meta;冬;週二;聖殿;兇惡園戶的比喻;;審判;智慧、洞察、真理;匠人棄石;【兇惡園戶的比喻】 耶穌在這段故事中主動靠近人：救恩不是抽象概念，而是祂在你生活裡的真實臨在。;Mt 21:33-46 | Mk 12:1-12 | Lk 20:9-19;Mt 21:33-46;Mk 12:1-12;Lk 20:9-19;;經文明載;經文段落連結;中;中;事件;後設>說明;;;;;;;;;;;;;;;;;天國門徒生活（綜合）;;;;;;;身份困惑;你還沒開口，祂已先靠近你。（E-150）;身份困惑;匱乏／無力;【兇惡園戶的比喻】 耶穌在這段故事中主動靠近人：救恩不是抽象概念，而是祂在你生活裡的真實臨在。;比喻不是給成功祕訣，而是把人從自義的劇本中救出來；耶穌先翻轉價值秩序，使人不必靠表現爭取被神接納。
213;5;E-005;06BCE-03;;Birth;春;西元前 6 年;拿撒勒;預言耶穌降生;;道成肉身;恩典、主權、謙卑;神主動介入;【預言耶穌降生】 耶穌在『其他教導』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;Lk 1:26-38;;;Lk 1:26-38;;經文明載;福音書順序;中;高;事件;教導>教導;;其他教導;;;;;;;;;;;羅 12:1-2, 9-21；加 5:13-26；弗 4:17-5:2；雅 1:22-27；彼前 2:11-12｜共同點：天國倫理在新約書信中被展開為『更新的生命樣式』：以愛、聖潔與真實行動回應福音。;理由：①本事件要求「天國倫理」：愛、聖潔、真實行動；②書信將其展開成「心意更新、活祭、聖靈結出果子」；③共同信息：倫理不是自我修行，而是福音結果。;羅 12:1-2, 9-21；加 5:13-26；弗 4:17-5:2；雅 1:22-27；彼前 2:11-12;共同點：天國倫理在新約書信中被展開為『更新的生命樣式』：以愛、聖潔與真實行動回應福音。;天國門徒生活（綜合）;"【P】[彌賽亞預言] 賽 7:14; 賽 9:6-7";;;;;;身份困惑;神選擇最小的地方，來到你身邊。（E-005）;身份困惑;匱乏／無力;【預言耶穌降生】 耶穌在『其他教導』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;耶穌進入真實人間，表明神不是在高處等待，而是在低處與人相遇；所以盼望不取決於處境，而取決於祂的臨在。
214;6;E-006;06BCE-03;;Birth;春;西元前 6 年;猶大山地;馬利亞探望以利沙伯;;顛覆性恩典;敬畏、喜樂、信靠;尊主為大;【馬利亞探望以利沙伯】 耶穌用行動示範天國：不是表演敬虔，而是把愛落地，讓你看見『跟隨』可以長什麼樣子。;Lk 1:39-56;;;Lk 1:39-56;;經文明載;福音書順序;中;高;事件;示範>身教/行動;;;;;;;;示範綜合;;;;;弗 4:11-16；西 3:12-17；提後 2:1-2；彼前 4:7-11；來 10:24-25｜共同點：門徒不是個人修行，而是被建造成群體，在愛中成長、彼此成全、持續傳承。;理由：①本事件聚焦門徒被呼召/被塑造/被差遣；②書信談「建造成長、彼此成全、傳承真道」；③共同信息：門徒訓練是群體工程，不是單兵信仰。;弗 4:11-16；西 3:12-17；提後 2:1-2；彼前 4:7-11；來 10:24-25;共同點：門徒不是個人修行，而是被建造成群體，在愛中成長、彼此成全、持續傳承。;天國門徒生活（綜合）;;;;;;;身份困惑;祂不是說給你聽，祂做給你看。（E-006）;身份困惑;匱乏／無力;【馬利亞探望以利沙伯】 耶穌用行動示範天國：不是表演敬虔，而是把愛落地，讓你看見『跟隨』可以長什麼樣子。;道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。
215;7;E-007;05BCE-03;;Birth;春;西元前 5 年;猶大山地;施洗約翰出生;;應驗;信實、勇氣、使命感;清晨日光;【施洗約翰出生】 耶穌用行動示範天國：不是表演敬虔，而是把愛落地，讓你看見『跟隨』可以長什麼樣子。;Lk 1:57-80;;;Lk 1:57-80;;經文明載;福音書順序;中;高;事件;示範>禱告/靈修;;;;;;;;示範綜合;;;;;腓 4:6-7；帖前 5:16-18；弗 6:18；雅 5:13-16；羅 8:26-27｜共同點：禱告是與神同工的呼吸；聖靈扶持人的軟弱，使信徒在患難中得平安與堅忍。;理由：①本事件把人帶進「與父相交」的禱告生活；②書信教導在患難中禱告、聖靈幫助軟弱；③共同信息：禱告不是技巧，而是把焦慮交託、在靈裡得能力。;腓 4:6-7；帖前 5:16-18；弗 6:18；雅 5:13-16；羅 8:26-27;共同點：禱告是與神同工的呼吸；聖靈扶持人的軟弱，使信徒在患難中得平安與堅忍。;天國門徒生活（綜合）;"【P】[彌賽亞預言] 瑪 3:1; 賽 40:3-5";;;;;;身份困惑;祂不是說給你聽，祂做給你看。（E-007）;身份困惑;匱乏／無力;【施洗約翰出生】 耶穌用行動示範天國：不是表演敬虔，而是把愛落地，讓你看見『跟隨』可以長什麼樣子。;道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。
216;8;E-008;05BCE-03;;Birth;春;西元前 5 年;拿撒勒;約瑟的夢與順服;;義人;順服、責任、信靠;以馬內利;【約瑟的夢與順服】 耶穌用行動示範天國：不是表演敬虔，而是把愛落地，讓你看見『跟隨』可以長什麼樣子。;Mt 1:18-25;Mt 1:18-25;;;;經文明載;福音書順序;中;高;事件;示範>身教/行動;;;;;;;;順服父神;;;;;弗 4:11-16；西 3:12-17；提後 2:1-2；彼前 4:7-11；來 10:24-25｜共同點：門徒不是個人修行，而是被建造成群體，在愛中成長、彼此成全、持續傳承。;理由：①本事件聚焦門徒被呼召/被塑造/被差遣；②書信談「建造成長、彼此成全、傳承真道」；③共同信息：門徒訓練是群體工程，不是單兵信仰。;弗 4:11-16；西 3:12-17；提後 2:1-2；彼前 4:7-11；來 10:24-25;共同點：門徒不是個人修行，而是被建造成群體，在愛中成長、彼此成全、持續傳承。;天國門徒生活（綜合）;"【M】[彌賽亞預言] 創 37:5-11; 賽 7:14";;;;;;身份困惑;祂不是說給你聽，祂做給你看。（E-008）;身份困惑;匱乏／無力;【約瑟的夢與順服】 耶穌用行動示範天國：不是表演敬虔，而是把愛落地，讓你看見『跟隨』可以長什麼樣子。;道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。
